标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Learning Dynamics in Continual Pre-Training for Large Language Models,大语言模型持续预训练中的学习动态,LLM,Other,https://arxiv.org/pdf/2505.07796,https://huggingface.co/papers/2505.07796,本文研究了大规模语言模型在持续预训练过程中的学习动态，重点分析了模型在通用领域与特定下游领域性能随训练步骤的变化。作者发现持续预训练的损失曲线反映了模型从一种表现状态向另一种隐藏状态的转变，并通过分离数据分布变化和学习率调整的影响，提出了一个结合两者因素的缩放定律。该定律能够预测任意训练步骤和学习率策略下的损失表现，帮助理解训练中的关键因素，并支持根据不同目标优化训练参数。大量实验证明该理论在多种数据集和训练设置中均有效，提升了持续预训练的理论指导和实践应用价值。,11
"Reinforced Internal-External Knowledge Synergistic Reasoning for
  Efficient Adaptive Search Agent",强化的内外部知识协同推理用于高效自适应搜索智能体,Agent,Other,https://arxiv.org/pdf/2505.07596,https://huggingface.co/papers/2505.07596,本文提出了一种名为IKEA的智能搜索代理，通过强化学习使模型能够有效判断何时利用自身已有知识，何时发起外部检索，从而实现内部知识与外部信息的协同推理。该方法设计了知识边界感知的奖励机制和训练数据，旨在减少不必要的检索次数，提升回答准确性和推理效率。实验证明，IKEA在多项知识密集型任务中显著优于现有方法，检索频率降低且具备较强的泛化能力，展现出高效且自适应的知识利用潜力。,10
MonetGPT: Solving Puzzles Enhances MLLMs' Image Retouching Skills,MonetGPT：通过解谜提升多模态大语言模型的图像润饰技能,Multimodal LLM,Other,https://arxiv.org/pdf/2505.06176,https://huggingface.co/papers/2505.06176,本文提出MonetGPT，一种多模态大语言模型，能够自动分析照片问题并基于预设的图像处理操作，规划和执行高质量的图像修饰。通过训练模型解决特制的视觉谜题，使其理解具体的修图步骤，从而生成既保留图像细节又易于用户理解的编辑方案。实验结果显示，MonetGPT在保持图像身份和编辑可解释性方面优于现有生成式和传统方法，为专业级图像修饰提供了更便捷且可靠的智能辅助工具。,6
"H^{3}DP: Triply-Hierarchical Diffusion Policy for Visuomotor
  Learning",H^{3}DP：用于视觉运动学习的三层次扩散策略,Diffusion Model,"Shanghai AI Lab, THU",https://arxiv.org/pdf/2505.07819,https://huggingface.co/papers/2505.07819,本文提出了一种名为H³DP的三层次分层扩散策略，用于提升机器人视觉-运动学习的效果。该方法通过深度感知的输入分层、多尺度视觉特征表示及层次化的动作生成过程，紧密结合视觉信息与动作预测，实现了从粗到细的动作生成。大量仿真实验和真实双手操作任务验证了H³DP在多样任务中的显著性能提升，平均优于现有方法27.5%。该研究为实现更高效、精准的机器人操作提供了新的思路。,5
"Position: AI Competitions Provide the Gold Standard for Empirical Rigor
  in GenAI Evaluation",观点：AI竞赛为生成式人工智能评估提供了经验严谨性的黄金标准,LLM,Other,https://arxiv.org/pdf/2505.00612,https://huggingface.co/papers/2505.00612,本文指出，现有机器学习的传统评估方法难以满足生成式人工智能（GenAI）模型的复杂需求，尤其面临输入输出空间无限、缺乏明确标准答案以及模型输出间强依赖等挑战。文章强调，数据泄露和污染问题是GenAI评估中最棘手的难题。作者提出，人工智能竞赛领域已发展出有效防止作弊和泄露的机制，应被视为GenAI评估的黄金标准。借鉴竞赛中的严谨实践，有助于提升GenAI模型评估的科学性和可信度。,4
UMoE: Unifying Attention and FFN with Shared Experts,UMoE：通过共享专家统一注意力机制与前馈网络,LLM,Other,https://arxiv.org/pdf/2505.07260,https://huggingface.co/papers/2505.07260,本文提出了一种名为UMoE的新型架构，通过重新设计注意力机制，揭示其内在的类前馈网络结构，实现了注意力层和前馈网络层中专家模型的统一。该方法不仅提升了基于注意力的稀疏专家模型的性能，还实现了两类模块间参数的高效共享，克服了现有注意力专家模型性能不足和实现复杂的问题，为大规模Transformer模型的高效扩展提供了新的思路。,4
"Document Attribution: Examining Citation Relationships using Large
  Language Models",文档归因：利用大语言模型审视引用关系,LLM,Other,https://arxiv.org/pdf/2505.06324,https://huggingface.co/papers/2505.06324,本文针对大型语言模型在文档任务中的可信性问题，提出了两种文档归因方法以追踪生成内容的来源。首先，将归因视为文本蕴含任务，采用零样本策略显著提升了归因准确率。其次，研究了注意力机制在归因过程中的作用，利用较小模型在多数层次上超越了基线表现。该工作有助于增强语言模型输出的透明度和可靠性，促进生成内容的可验证性和解释性。,3
Continuous Visual Autoregressive Generation via Score Maximization,通过得分最大化实现连续视觉自回归生成,Other,Other,https://arxiv.org/pdf/2505.07812,https://huggingface.co/papers/2505.07812,本文提出了一种连续视觉自回归生成框架，突破了传统方法依赖离散量化的限制，实现了无需向量量化的直接连续视觉数据生成。该方法基于严格的评分规则，通过优化选定的评分函数（如能量评分）作为训练目标，有效评估生成模型与真实数据分布的匹配度，避免了在连续空间中进行概率预测的难题。该框架不仅提升了生成质量，减少信息损失，还统一了此前多种连续自回归生成方法，为视觉生成任务提供了新的理论和实践路径。,2
Overflow Prevention Enhances Long-Context Recurrent LLMs,溢出预防提升长上下文循环大型语言模型性能,LLM,Other,https://arxiv.org/pdf/2505.07793,https://huggingface.co/papers/2505.07793,本文针对当前长上下文大语言模型中固定大小的循环记忆限制问题，提出了一种基于分块的推理方法，只处理输入中最相关的部分，从而有效避免记忆溢出。实验表明，该方法显著提升了多款主流长上下文循环模型在LongBench基准上的性能，最高提升超过50%，并在更具挑战性的LongBench v2测试中达到先进水平。研究结果还质疑了循环模型是否真正利用了长距离依赖，为长上下文模型的设计和应用提供了新的思路。,2
"Physics-Assisted and Topology-Informed Deep Learning for Weather
  Prediction",基于物理辅助与拓扑信息的深度学习天气预测模型,AI4Science,Other,https://arxiv.org/pdf/2505.04918,https://huggingface.co/papers/2505.04918,本文提出了一种名为PASSAT的深度学习模型，用于天气预测。该模型结合了物理规律和地球表面拓扑结构，分别通过数值求解描述大气运动的方程和采用球面图神经网络来捕捉复杂的地球-大气相互作用。与传统方法相比，PASSAT在真实气象数据集上的表现更优，显示出融合物理知识与地理特征的深度学习方法在提升天气预报准确性方面的潜力。相关代码已公开，便于后续研究和应用。,2
"DynamicRAG: Leveraging Outputs of Large Language Model as Feedback for
  Dynamic Reranking in Retrieval-Augmented Generation",DynamicRAG：利用大语言模型输出作为反馈进行检索增强生成中的动态重排序,Agent,Other,https://arxiv.org/pdf/2505.07233,https://huggingface.co/papers/2505.07233,本文提出了DynamicRAG，一种动态调整检索文档数量和排序的生成系统。该方法通过强化学习，将大语言模型生成结果的质量作为反馈，优化文档重排序策略，从而有效平衡信息完整性与噪声干扰。实验在七个知识密集型数据集上验证了DynamicRAG的优越性能，显著提升了生成质量，达到了最新的技术水平。该研究为提升检索增强生成系统的准确性和效率提供了新的思路和方法。,1
"Multiview Point Cloud Registration via Optimization in an Autoencoder
  Latent Space",通过自编码器潜在空间优化的多视角点云配准,Other,Other,https://arxiv.org/pdf/2504.21467,https://huggingface.co/papers/2504.21467,本文提出了一种名为POLAR的新方法，用于多视角点云的刚性配准问题。该方法通过将配准任务转化到预训练自编码器的潜在空间中，设计了考虑数据退化的损失函数，并采用高效的多起点优化策略，从而实现了对大量视角的高效处理和对较大变换及高噪声水平的鲁棒性。实验结果表明，POLAR在合成和真实数据上均显著优于现有方法，为三维重建和点云对齐提供了更可靠的解决方案。,0
"Multi-Objective-Guided Discrete Flow Matching for Controllable
  Biological Sequence Design",多目标引导的离散流匹配用于可控生物序列设计,AI4Science,Other,https://arxiv.org/pdf/2505.07086,https://huggingface.co/papers/2505.07086,本文提出了一种名为多目标引导离散流匹配（MOG-DFM）的新方法，旨在同时优化生物序列设计中的多个相互冲突的性能指标。该方法能够在预训练的生成模型基础上，通过逐步筛选和调整，实现不同性能之间的平衡，生成符合多重要求的生物分子序列。作者基于此方法训练了用于肽段和功能性DNA序列生成的模型，实验证明MOG-DFM能有效设计出兼顾多项性质的肽结合物和特定功能的DNA序列，展现了其在多属性生物分子设计中的广泛应用潜力。,0
