标题,中文标题,发布日期,领域分类,研究机构,PDF链接,论文链接,AlphaXiv链接,简明摘要,点赞数
Efficient Autoregressive Shape Generation via Octree-Based Adaptive Tokenization,基于八叉树的自适应形状生成的高效自回归方法,03 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.02817,https://www.arxiv.org/abs/2504.02817,https://www.alphaxiv.org/abs/2504.02817,该论文提出了一种名为“八叉树自适应标记化”（OAT）的新框架，旨在提高3D形状生成的效率。与传统方法使用固定大小的标记表示不同，OAT根据形状的复杂性动态调整标记的数量和维度，从而在保持较高重建质量的同时，平均减少了50%的标记数量。该方法通过构建自适应的八叉树结构，合理分配标记以适应不同的几何复杂性。这一创新不仅提升了3D内容生成的细节和多样性，还优化了潜在表示的效率，具有重要的应用价值。,10
Scene Splatter: Momentum 3D Scene Generation from Single Image with Video Diffusion Model,场景溅射：基于视频扩散模型的单图像动量3D场景生成,03 Apr 2025,Diffusion Model,"THU, Tencent",https://arxiv.org/pdf/2504.02764,https://www.arxiv.org/abs/2504.02764,https://www.alphaxiv.org/abs/2504.02764,本文提出了Scene Splatter，一种基于动量的视频扩散模型，用于从单张图像生成高保真且一致的3D场景。现有方法在生成新视角时常面临视频长度限制和场景不一致的问题，导致重建时出现伪影和失真。为了解决这些问题，作者构建了原始特征的噪声样本作为动量，增强视频细节并保持场景一致性。同时，引入像素级动量以更好地恢复未知区域。实验表明，Scene Splatter在生成高质量3D场景方面表现优越，展示了其广泛的应用潜力。,10
LLM for Complex Reasoning Task: An Exploratory Study in Fermi Problems,复杂推理任务的LLM：费米问题的探索性研究,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02671,https://www.arxiv.org/abs/2504.02671,https://www.alphaxiv.org/abs/2504.02671,"本研究探讨了大型语言模型（LLMs）在解决费米问题（Fermi Problems, FPs）中的能力与局限性。费米问题是一类要求复杂数学推理的任务，通常涉及模糊概念，难度较大。通过对三种先进LLMs的评估，研究发现它们在FP任务上的表现均未达到0.5的评分，表明LLMs在处理这些问题时面临挑战。研究还将FP分为标准问题和特定问题，结果显示LLMs在标准问题上的表现优于特定问题，强调了问题特性对模型表现的影响。这一研究为未来LLMs在复杂推理任务中的应用提供了重要见解。",9
From Consumption to Collaboration: Measuring Interaction Patterns to Augment Human Cognition in Open-Ended Tasks,从消费到协作：测量互动模式以增强开放式任务中的人类认知,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02780,https://www.arxiv.org/abs/2504.02780,https://www.alphaxiv.org/abs/2504.02780,本论文探讨了生成性人工智能（尤其是大型语言模型，LLMs）对人类认知过程的影响，特别是在开放式任务中的应用。作者提出了一种框架，用于分析人类与LLMs之间的互动模式，重点关注认知活动的探索与利用，以及认知参与的建设性与有害性。这一框架旨在评估LLMs作为思维工具的有效性，帮助确保它们能够增强而非削弱人类的认知能力。研究强调了在开放式任务中，如何通过深度参与和批判性思维来避免对AI输出的无批判依赖，从而推动人机协作的有效性。,8
Multi-Mission Tool Bench: Assessing the Robustness of LLM based Agents through Related and Dynamic Missions,多任务工具基准：通过相关和动态任务评估基于LLM的智能体的鲁棒性,03 Apr 2025,Agent,Tencent,https://arxiv.org/pdf/2504.02623,https://www.arxiv.org/abs/2504.02623,https://www.alphaxiv.org/abs/2504.02623,本论文提出了“多任务工具基准”（Multi-Mission Tool Bench），旨在评估基于大语言模型（LLM）的智能体在动态和相关多任务场景中的鲁棒性。现有的评估方法主要集中在单一任务上，未能反映现实复杂性。该基准通过设计多个相互关联的任务，要求智能体适应不断变化的需求，并探索所有可能的任务切换模式。论文还提出了一种新的评估方法，利用动态决策树来衡量智能体决策的准确性和效率。实验结果揭示了影响智能体鲁棒性的关键因素，为未来的研究提供了重要的见解。,8
BOOST: Bootstrapping Strategy-Driven Reasoning Programs for Program-Guided Fact-Checking,BOOST: 基于引导策略的推理程序引导的事实核查,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02467,https://www.arxiv.org/abs/2504.02467,https://www.alphaxiv.org/abs/2504.02467,本文提出了BOOST，一个基于引导策略的推理程序生成框架，旨在提高复杂声明的自动化事实核查能力。BOOST通过整合声明分解和信息收集策略，迭代地生成推理程序示例，而无需人工干预。这种方法不仅增强了程序的多样性和可解释性，还实现了从零样本到少样本学习的无缝过渡。实验结果表明，BOOST在零样本和少样本设置下的表现优于现有的基线方法，展示了其在应对信息不实方面的有效性和数据效率。,8
Spline-based Transformers,基于样条的变换器,03 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.02797,https://www.arxiv.org/abs/2504.02797,https://www.alphaxiv.org/abs/2504.02797,本论文提出了一种新的变换器模型——基于样条的变换器（Spline-based Transformers），旨在消除对位置编码的需求。该模型通过将输入序列嵌入为潜在空间中的平滑轨迹，克服了传统位置编码的局限性，如序列长度推断不佳和过拟合问题。基于样条的变换器允许用户直接操控潜在控制点，从而生成新的潜在轨迹和序列。实验表明，该方法在多种数据集（包括合成2D数据和大规模真实世界图像、3D形状及动画）上优于传统位置编码，展现了其在学习元素与集合数据表示方面的潜力。,8
How Deep Do Large Language Models Internalize Scientific Literature and Citation Practices?,大型语言模型在多大程度上内化科学文献和引用实践？,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02767,https://www.arxiv.org/abs/2504.02767,https://www.alphaxiv.org/abs/2504.02767,"本论文探讨了大型语言模型（LLMs）在科学文献和引用实践中的作用。研究发现，LLMs在生成引用时倾向于强化“马修效应”，即更青睐高引用量的论文，且这一趋势在不同科学领域中普遍存在。通过分析近275,000条由GPT-4o生成的引用，作者指出LLMs更倾向于引用较新、标题较短且作者较少的文献，同时生成的引用在语义上与论文内容高度相关。这表明LLMs可能在重塑引用实践和科学发现的过程中发挥重要作用，影响科学知识的传播方式。",7
SPACE: SPike-Aware Consistency Enhancement for Test-Time Adaptation in Spiking Neural Networks,SPACE: 针对脉冲神经网络测试时适应的脉冲感知一致性增强,03 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.02298,https://www.arxiv.org/abs/2504.02298,https://www.alphaxiv.org/abs/2504.02298,本文提出了SPACE（SPike-Aware Consistency Enhancement），一种针对脉冲神经网络（SNNs）的测试时适应方法。SNNs在处理真实世界中的数据分布变化时表现脆弱，传统的适应方法往往无法有效应对其独特的计算特性。SPACE通过利用SNN的脉冲动态，增强单个测试样本的局部特征图的一致性，无需源数据即可实现稳健的适应。实验结果表明，SPACE在多个数据集上表现优越，且在不同模型架构中具有良好的泛化能力，显示出其在实际应用中的有效性和鲁棒性。,7
Responsible Development of Offensive AI,负责任的进攻性人工智能发展,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02701,https://www.arxiv.org/abs/2504.02701,https://www.alphaxiv.org/abs/2504.02701,这篇论文探讨了攻防人工智能（AI）的负责任发展，强调在研究优先级上需要更广泛的共识。作者利用可持续发展目标（SDGs）和可解释性技术，评估了两种攻防AI工具：漏洞检测代理和AI驱动的恶意软件。研究旨在平衡社会利益与风险，促进组织在网络安全中的韧性。论文指出，通过降低渗透测试的成本，AI可以使安全措施更易获得，但同时也存在伦理和实践挑战，需谨慎评估这些工具的开发对社会的潜在影响。,7
A Memory-Augmented LLM-Driven Method for Autonomous Merging of 3D Printing Work Orders,一种基于记忆增强的大语言模型驱动的3D打印工单自主合并方法,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02509,https://www.arxiv.org/abs/2504.02509,https://www.alphaxiv.org/abs/2504.02509,本文提出了一种基于大型语言模型（LLM）和记忆增强学习策略的自主合并3D打印工作订单的方法，以应对个性化生产需求的增加。该方法通过将打印设备和订单特征转化为LLM可读的自然语言模板，开发了订单与设备匹配工具及合并干扰检查模块。通过引入自我记忆学习策略，系统能够不断积累决策经验，从而提高订单分配的准确性和可靠性。这一创新方法有效提升了3D打印生产线的处理效率，同时减少了决策过程中的误差，具有广泛的工业应用潜力。,6
LLMs as Deceptive Agents: How Role-Based Prompting Induces Semantic Ambiguity in Puzzle Tasks,大语言模型作为欺骗性智能体：基于角色的提示如何在谜题任务中引发语义模糊,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02254,https://www.arxiv.org/abs/2504.02254,https://www.alphaxiv.org/abs/2504.02254,本研究探讨了大型语言模型（LLMs）作为自主代理如何利用语义模糊性生成误导性谜题，从而挑战人类用户。通过比较零-shot提示和角色注入提示生成的谜题，研究发现，角色注入提示显著增加了语义模糊性，导致更高的认知负担和公平性降低。采用HateBERT进行计算分析，并结合主观评估，研究揭示了LLMs的新兴代理特征及其在教育和娱乐技术中的伦理考量。这些发现为理解LLMs的行为提供了重要见解，并为未来的安全部署奠定了基础。,6
Test-time Adaptation for Foundation Medical Segmentation Model without Parametric Updates,无参数更新的基础医学分割模型的测试时适应,02 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.02008,https://www.arxiv.org/abs/2504.02008,https://www.alphaxiv.org/abs/2504.02008,本文提出了一种新的测试时间适应（TTA）方法，旨在提高基础医学分割模型（如MedSAM）在特定病变上的表现，而无需进行参数更新。研究表明，直接优化图像嵌入可以在保留性能的同时，显著降低计算复杂度，避免了大模型中的灾难性遗忘。通过引入基于条件随机场的损失函数和熵最小化策略，实验结果显示，该方法在三个数据集上平均提高了约3%的Dice系数，同时计算复杂度减少了七倍。这一研究为医学图像分割提供了高效且有效的解决方案。,5
Exploration-Driven Generative Interactive Environments,探索驱动的生成交互环境,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02515,https://www.arxiv.org/abs/2504.02515,https://www.alphaxiv.org/abs/2504.02515,本文提出了一种基于探索的生成互动环境训练框架，旨在简化多环境世界模型的训练过程。传统方法依赖于昂贵的人类演示数据，而我们的方法使用随机代理在虚拟环境中自动收集数据。为克服随机探索的局限性，我们引入了AutoExplore Agent，通过利用世界模型的不确定性生成多样化的数据。此外，我们构建了一个名为RetroAct的大型数据集，涵盖974个虚拟环境的行为和控制信息。通过这些创新，我们的模型能够快速适应新环境，提升视频质量和可控性，推动了高质量互动环境的生成与应用。,5
The Self-Learning Agent with a Progressive Neural Network Integrated Transformer,集成了渐进神经网络的自学习智能体,03 Apr 2025,Agent,Other,https://arxiv.org/pdf/2504.02489,https://www.arxiv.org/abs/2504.02489,https://www.alphaxiv.org/abs/2504.02489,本论文提出了一种自学习代理，结合了LLaMA 3.2和渐进神经网络（PNN），旨在实现跨领域的持续学习，如对话AI和代码生成。该框架利用预训练的LLaMA模型，能够在数据需求极低的情况下训练新任务，避免传统神经网络中的灾难性遗忘。代理通过从维基百科自主收集数据，实现动态任务添加和微调，结合元学习和低秩适应（LoRA）优化效率。实验表明，该系统在有限数据下展现出优异的任务适应性和知识保持能力，标志着向人工通用智能（AGI）迈进的一步。,5
Improving User Experience with FAICO: Towards a Framework for AI Communication in Human-AI Co-Creativity,通过FAICO改善用户体验：构建人机共创中的AI沟通框架,03 Apr 2025,Other,Other,https://arxiv.org/pdf/2504.02526,https://www.arxiv.org/abs/2504.02526,https://www.alphaxiv.org/abs/2504.02526,本论文提出了一种名为FAICO的框架，旨在改善人机协作中的AI沟通，进而提升用户体验。通过对107篇相关文献的系统回顾，FAICO识别了AI沟通的关键要素及其对用户体验的影响。研究展示了如何将该框架转化为实用工具，包括设计卡片和配置工具，帮助设计师和用户根据不同需求定制AI沟通策略。此研究为人机共创和人机交互领域提供了新的见解，强调了有效沟通在提高协作效果中的重要性。,4
LexPam: Legal Procedure Awareness-Guided Mathematical Reasoning,LexPam: 法律程序意识引导的数学推理,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02590,https://www.arxiv.org/abs/2504.02590,https://www.alphaxiv.org/abs/2504.02590,本文提出了LexPam，一个基于法律程序意识的强化学习算法，旨在提升大型语言模型（LLMs）在法律场景中的数学推理能力。研究中引入了首个中文法律数学推理数据集LexNum，涵盖经济赔偿、工伤赔偿和交通事故赔偿等常见法律数学场景。实验结果表明，现有法律LLMs在法律数学推理任务中的表现不佳，而LexPam显著改善了这些模型的推理能力，从而增强了其在法律咨询中的可信度和实用性。,3
AnesBench: Multi-Dimensional Evaluation of LLM Reasoning in Anesthesiology,AnesBench：麻醉学中大语言模型推理的多维评估,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02404,https://www.arxiv.org/abs/2504.02404,https://www.alphaxiv.org/abs/2504.02404,本论文提出了ANESBENCH，一个用于评估大型语言模型（LLMs）在麻醉学领域推理能力的基准。研究系统性地分析了LLMs在麻醉学中的推理表现，涵盖了事实检索、混合推理和复杂决策三个层面。通过实验，探讨了模型规模、推理策略和训练方法（如连续预训练和监督微调）对推理性能的影响。此外，论文还考察了测试时推理技术（如Best-of-N采样和束搜索）以及推理增强模型蒸馏的效果。ANESBENCH及相关数据集和评估代码将公开发布，为麻醉学领域的研究提供了重要工具。,3
A Framework for Robust Cognitive Evaluation of LLMs,大语言模型的稳健认知评估框架,03 Apr 2025,LLM,Other,https://arxiv.org/pdf/2504.02789,https://www.arxiv.org/abs/2504.02789,https://www.alphaxiv.org/abs/2504.02789,本论文提出了COGNITIV EVAL框架，旨在系统评估大型语言模型（LLMs）的认知能力，特别关注结果收集的稳健性。该框架包含自动提示重构和双重测量模型输出及其内部概率估计的功能，以减少提示特定效应并提供更细致的模型性能分析。通过复制五个经典认知科学实验，研究表明COGNITIV EVAL在不同实验任务中的广泛适用性，并为多种最先进LLMs提供了认知特征分析。此框架将公开发布，以促进认知科学社区的合作与研究。,2
